time,open,high,low,close,Volume,Volume MA
1551441600,8.04,8.09,8.04,8.09,120,NaN
1551442500,8.09,8.1,8.08,8.09,800,NaN
1551443400,8.09,8.09,8.09,8.09,30,NaN
1551444300,8.09,8.1,8.09,8.1,30,NaN
1551445200,8.11,8.12,8.1,8.12,865,NaN
1551446100,8.12,8.12,8.12,8.12,80,NaN
1551447000,8.11,8.13,8.1,8.11,2750,NaN
1551447900,8.11,8.11,8.1,8.11,265,NaN
1551448800,8.1,8.1,8.1,8.1,2750,NaN
1551449700,8.11,8.11,8.11,8.11,340,NaN
1551450600,8.11,8.11,8.08,8.08,250,NaN
1551451500,8.07,8.1,8.07,8.1,1150,NaN
1551452400,8.09,8.09,8.07,8.07,765,NaN
1551453300,8.08,8.09,8.08,8.09,540,NaN
1551454200,8.09,8.09,8.09,8.09,630,NaN
1551455100,8.08,8.08,8.08,8.08,525,NaN
1551456000,8.08,8.09,8.08,8.09,140,NaN
1551457800,8.09,8.09,8.09,8.09,165,NaN
1551458700,8.09,8.09,8.09,8.09,15,NaN
1551459600,8.09,8.09,8.09,8.09,25,NaN
1551460500,8.09,8.09,8.09,8.09,20,NaN
1551461400,8.09,8.09,8.09,8.09,25,NaN
1551462300,8.1,8.1,8.1,8.1,85,NaN
1551463200,8.1,8.1,8.1,8.1,10,NaN
1551464100,8.1,8.1,8.1,8.1,35,NaN
1551465000,8.1,8.1,8.08,8.08,125,NaN
1551465900,8.08,8.09,8.08,8.09,170,NaN
1551467700,8.08,8.08,8.08,8.08,2215,NaN
1551469500,8.08,8.08,8.08,8.08,1090,NaN
1551470400,8.08,8.08,8.08,8.08,10,NaN
1551471300,8.08,8.08,8.08,8.08,15,NaN
1551472200,8.08,8.08,8.08,8.08,240,NaN
1551473100,8.07,8.07,8.07,8.07,10,NaN
1551888000,8.08,8.13,8.06,8.11,460,NaN
1551888900,8.1,8.12,8.1,8.12,380,NaN
1551889800,8.13,8.15,8.13,8.15,310,NaN
1551890700,8.14,8.16,8.14,8.15,325,NaN
1551891600,8.13,8.15,8.13,8.15,1095,NaN
1551892500,8.15,8.15,8.15,8.15,750,NaN
1551893400,8.14,8.14,8.14,8.14,245,NaN
1551894300,8.15,8.16,8.15,8.16,120,NaN
1551895200,8.17,8.17,8.16,8.16,215,NaN
1551896100,8.15,8.15,8.14,8.14,195,NaN
1551897000,8.14,8.14,8.14,8.14,250,NaN
1551897900,8.14,8.14,8.13,8.13,685,NaN
1551899700,8.13,8.13,8.13,8.13,715,NaN
1551901500,8.14,8.14,8.13,8.13,125,NaN
1551902400,8.13,8.13,8.13,8.13,90,NaN
1551903300,8.12,8.12,8.12,8.12,30,NaN
1551904200,8.12,8.12,8.12,8.12,25,446
1551905100,8.13,8.13,8.13,8.13,380,451.2
1551960000,8.14,8.14,8.14,8.14,65,436.5
1551960900,8.14,8.14,8.12,8.12,2240,480.7
1551961800,8.12,8.13,8.12,8.13,610,492.3
1551962700,8.12,8.12,8.11,8.11,650,488
1551963600,8.12,8.13,8.12,8.13,315,492.7
1551964500,8.12,8.13,8.12,8.13,140,440.5
1551965400,8.13,8.13,8.11,8.11,190,439
1551966300,8.1,8.1,8.09,8.09,4995,483.9
1551967200,8.1,8.1,8.1,8.1,50,478.1
1551968100,8.1,8.12,8.1,8.12,3475,542.6
1551969000,8.12,8.14,8.12,8.14,2550,570.6
1551969900,8.15,8.16,8.14,8.14,1535,586
1551970800,8.15,8.15,8.13,8.13,2240,620
1551971700,8.14,8.14,8.14,8.14,160,610.6
1551972600,8.14,8.14,8.14,8.14,255,605.2
1551973500,8.13,8.13,8.13,8.13,1285,628.1
1551974400,8.14,8.15,8.14,8.15,2180,668.4
1551975300,8.15,8.16,8.15,8.16,205,672.2
1551976200,8.15,8.17,8.15,8.17,170,675.1
1551977100,8.17,8.18,8.17,8.18,130,677.3
1551978000,8.19,8.19,8.18,8.18,40,677.6
1551978900,8.18,8.18,8.17,8.17,80,677.5
1551979800,8.17,8.17,8.17,8.17,535,688
1551980700,8.17,8.17,8.16,8.16,370,694.7
1551981600,8.16,8.16,8.15,8.15,105,694.3
1551982500,8.14,8.16,8.14,8.16,1235,715.6
1551983400,8.16,8.16,8.15,8.16,345,678.2
1551984300,8.15,8.15,8.14,8.14,675,669.9
1551986100,8.15,8.15,8.15,8.15,480,679.3
1551987900,8.15,8.16,8.15,8.15,440,687.8
1551988800,8.15,8.15,8.13,8.13,115,685.3
1551989700,8.13,8.13,8.13,8.13,600,697.1
1551990600,8.12,8.12,8.12,8.12,4005,768
1551991500,8.12,8.12,8.12,8.12,1035,781.1
1552046400,8.11,8.11,8.09,8.1,1375,802.4
1552047300,8.11,8.11,8.1,8.1,1470,825.3
1552048200,8.1,8.11,8.1,8.11,555,814.5
1552049100,8.11,8.11,8.1,8.1,4000,879.5
1552050000,8.1,8.11,8.1,8.1,4245,959.5
1552050900,8.1,8.11,8.1,8.11,755,972.2
1552051800,8.09,8.11,8.06,8.06,3015,1028.2
1552052700,8.06,8.07,8.06,8.06,1190,1048.1
1552053600,8.07,8.08,8.07,8.07,215,1047.4
