time,open,high,low,close,Volume,Volume MA
1483354800,11.44,11.44,11.38,11.42,280,NaN
1483356600,11.43,11.43,11.42,11.42,30,NaN
1483358400,11.42,11.42,11.38,11.38,285,NaN
1483360200,11.39,11.39,11.39,11.39,55,NaN
1483362000,11.38,11.38,11.35,11.36,55,NaN
1483363800,11.37,11.38,11.36,11.37,115,NaN
1483365600,11.38,11.38,11.37,11.37,45,NaN
1483367400,11.35,11.36,11.35,11.36,20,NaN
1483371000,11.35,11.35,11.35,11.35,25,NaN
1483372800,11.36,11.37,11.35,11.37,75,NaN
1483374600,11.36,11.36,11.36,11.36,50,NaN
1483381800,11.31,11.31,11.31,11.31,20,NaN
1483383600,11.31,11.31,11.31,11.31,25,NaN
1483385400,11.3,11.32,11.3,11.32,25,NaN
1483441200,11.34,11.37,11.34,11.35,210,NaN
1483443000,11.35,11.35,11.33,11.34,40,NaN
1483444800,11.33,11.37,11.33,11.36,120,NaN
1483446600,11.36,11.37,11.36,11.36,125,NaN
1483448400,11.36,11.4,11.36,11.4,325,NaN
1483450200,11.39,11.4,11.38,11.39,80,NaN
1483452000,11.39,11.39,11.39,11.39,75,NaN
1483453800,11.38,11.38,11.36,11.36,15,NaN
1483455600,11.39,11.39,11.38,11.38,75,NaN
1483457400,11.37,11.37,11.36,11.36,100,NaN
1483459200,11.36,11.37,11.36,11.36,80,NaN
1483461000,11.36,11.36,11.36,11.36,5,NaN
1483462800,11.35,11.35,11.33,11.35,140,NaN
1483464600,11.35,11.35,11.34,11.35,135,NaN
1483468200,11.34,11.34,11.34,11.34,10,NaN
1483470000,11.36,11.37,11.36,11.37,40,NaN
1483471800,11.36,11.38,11.36,11.38,15,NaN
1483527600,11.33,11.34,11.32,11.33,65,NaN
1483529400,11.33,11.38,11.33,11.38,145,NaN
1483531200,11.39,11.43,11.39,11.4,250,NaN
1483533000,11.4,11.43,11.4,11.43,420,NaN
1483534800,11.43,11.45,11.43,11.45,80,NaN
1483536600,11.45,11.45,11.43,11.43,50,NaN
1483538400,11.42,11.42,11.4,11.4,90,NaN
1483540200,11.42,11.42,11.42,11.42,10,NaN
1483542000,11.42,11.42,11.42,11.42,55,NaN
1483543800,11.42,11.42,11.42,11.42,10,NaN
1483545600,11.43,11.45,11.43,11.45,155,NaN
1483547400,11.45,11.45,11.45,11.45,130,NaN
1483549200,11.44,11.48,11.44,11.45,350,NaN
1483551000,11.46,11.47,11.46,11.47,135,NaN
1483554600,11.48,11.48,11.48,11.48,10,NaN
1483558200,11.47,11.47,11.47,11.47,5,NaN
1483614000,11.42,11.44,11.41,11.44,115,NaN
1483615800,11.43,11.43,11.41,11.41,95,NaN
1483617600,11.42,11.43,11.42,11.43,105,99.4
1483619400,11.43,11.43,11.42,11.42,205,97.9
1483621200,11.43,11.43,11.41,11.41,135,100
1483623000,11.42,11.44,11.42,11.43,80,95.9
1483624800,11.43,11.43,11.39,11.39,130,97.4
1483626600,11.41,11.42,11.41,11.41,2510,146.5
1483628400,11.41,11.41,11.41,11.41,25,144.7
1483630200,11.4,11.4,11.38,11.38,30,144.4
1483632000,11.37,11.38,11.36,11.36,165,147.3
1483633800,11.36,11.36,11.36,11.36,115,149.1
1483635600,11.35,11.36,11.35,11.36,30,148.2
1483637400,11.37,11.38,11.37,11.38,125,149.7
1483641000,11.39,11.39,11.39,11.39,125,151.8
1483642800,11.39,11.39,11.39,11.39,100,153.3
1483644600,11.4,11.4,11.4,11.4,50,153.8
1483700400,11.41,11.41,11.35,11.36,215,153.9
1483702200,11.35,11.35,11.33,11.34,90,154.9
1483704000,11.33,11.33,11.33,11.33,10,152.7
1483705800,11.33,11.33,11.32,11.32,35,150.9
1483707600,11.32,11.33,11.32,11.33,50,145.4
1483709400,11.3,11.32,11.3,11.32,70,145.2
1483711200,11.35,11.35,11.33,11.34,40,144.5
1483713000,11.34,11.34,11.34,11.34,20,144.6
1483714800,11.31,11.31,11.31,11.31,70,144.5
1483718400,11.35,11.36,11.35,11.36,30,143.1
1483722000,11.37,11.37,11.37,11.37,30,142.1
1483723800,11.4,11.4,11.4,11.4,5,142.1
1483727400,11.4,11.4,11.4,11.4,50,140.3
1483729200,11.39,11.39,11.39,11.39,30,138.2
1483731000,11.38,11.38,11.36,11.36,15,138.3
1483959600,11.38,11.38,11.38,11.38,10,137.7
1483961400,11.39,11.39,11.39,11.39,5,137.5
1483963200,11.39,11.39,11.37,11.37,25,136.7
1483966800,11.35,11.35,11.34,11.34,205,137.9
1483968600,11.34,11.34,11.34,11.34,25,133.4
1483970400,11.34,11.34,11.34,11.34,60,126.2
1483972200,11.34,11.34,11.34,11.34,15,124.9
1483975800,11.36,11.36,11.36,11.36,40,124.7
1483979400,11.35,11.36,11.35,11.36,75,124.4
1483981200,11.35,11.35,11.35,11.35,10,124.4
1483983000,11.34,11.34,11.34,11.34,5,123.4
1483986600,11.33,11.33,11.3,11.3,265,128.5
1483990200,11.29,11.29,11.29,11.29,25,125.9
1484046000,11.31,11.31,11.28,11.28,525,133.8
1484047800,11.28,11.29,11.28,11.28,170,130.2
1484049600,11.28,11.28,11.28,11.28,115,129.8
1484051400,11.3,11.3,11.29,11.29,290,135.4
1484053200,11.29,11.3,11.29,11.3,170,138.7
1484055000,11.28,11.3,11.28,11.3,290,142.2
1484056800,11.3,11.3,11.29,11.29,50,141.3
1484058600,11.3,11.3,11.3,11.3,25,139.7
1484064000,11.28,11.28,11.25,11.26,450,144.6
1484065800,11.25,11.25,11.25,11.25,95,143.8
1484067600,11.25,11.25,11.24,11.24,90,144
1484069400,11.25,11.25,11.25,11.25,15,141.7
1484073000,11.22,11.23,11.22,11.23,200,95.5
1484074800,11.23,11.23,11.23,11.23,125,97.5
1484076600,11.23,11.25,11.23,11.23,190,100.7
1484132400,11.25,11.31,11.24,11.29,280,103
1484134200,11.3,11.32,11.3,11.31,155,103.8
1484136000,11.3,11.32,11.3,11.32,20,103.6
1484139600,11.33,11.33,11.33,11.33,5,101.2
1484141400,11.31,11.31,11.31,11.31,25,99.2
1484143200,11.31,11.31,11.31,11.31,105,99.3
1484145000,11.33,11.34,11.33,11.34,40,99.1
1484146800,11.37,11.37,11.36,11.36,45,95.7
1484148600,11.34,11.34,11.34,11.34,5,94
1484150400,11.33,11.33,11.29,11.29,550,104.8
1484152200,11.29,11.29,11.27,11.28,455,113.2
1484154000,11.29,11.29,11.26,11.26,135,114.9
1484155800,11.26,11.27,11.26,11.26,90,115.3
1484159400,11.25,11.25,11.25,11.25,5,114.6
1484163000,11.26,11.26,11.26,11.26,5,114.3
1484218800,10.95,10.99,10.94,10.99,360,120.1
1484220600,10.98,10.98,10.97,10.97,25,120
1484222400,10.97,10.97,10.97,10.97,15,119.7
1484224200,10.96,10.97,10.96,10.97,40,120.4
1484226000,10.97,10.98,10.95,10.95,50,120.4
1484227800,10.96,10.98,10.96,10.97,430,128.4
1484229600,10.97,10.98,10.97,10.98,320,134.5
1484231400,10.97,10.97,10.93,10.93,595,146.2
1484233200,10.94,10.95,10.94,10.95,85,147.8
1484235000,10.94,10.94,10.92,10.93,110,149.5
1484236800,10.93,10.94,10.92,10.92,120,147.8
1484238600,10.92,10.92,10.92,10.92,160,150.5
1484240400,10.93,10.93,10.92,10.93,420,157.7
1484242200,10.92,10.93,10.92,10.93,185,161.1
1484245800,10.93,10.93,10.93,10.93,285,166
1484247600,10.94,10.95,10.94,10.95,55,165.6
1484249400,10.95,10.95,10.95,10.95,75,166.9
1484305200,10.94,10.96,10.91,10.91,125,169.3
1484307000,10.91,10.91,10.9,10.91,330,170.6
1484308800,10.91,10.94,10.91,10.93,210,174.3
1484310600,10.93,10.95,10.92,10.95,515,174.1
1484312400,10.94,10.94,10.89,10.9,535,181.4
1484314200,10.9,10.93,10.86,10.87,1215,203.4
1484316000,10.86,10.88,10.86,10.88,310,203.8
1484317800,10.88,10.92,10.88,10.91,235,205.1
1484319600,10.91,10.94,10.91,10.92,945,218.2
1484321400,10.91,10.91,10.9,10.91,2060,258.4
1484323200,10.91,10.92,10.91,10.92,430,266.5
1484325000,10.92,10.94,10.91,10.94,95,259.4
1484326800,10.94,10.94,10.93,10.93,20,257.9
1484328600,10.95,10.96,10.95,10.95,3550,327.1
1484332200,10.96,10.96,10.95,10.95,105,328.9
1484335800,10.96,10.98,10.96,10.98,25,325.4
1484564400,10.98,10.98,10.96,10.97,80,324.5
1484566200,10.98,10.99,10.97,10.97,125,323.2
1484571600,10.93,10.93,10.93,10.93,5,317.7
1484573400,10.93,10.93,10.93,10.93,15,314.9
1484575200,10.93,10.93,10.89,10.89,70,315.9
1484577000,10.89,10.89,10.89,10.89,35,316.5
1484578800,10.91,10.92,10.91,10.91,20,316.4
1484580600,10.91,10.91,10.91,10.91,10,314.5
1484584200,10.91,10.91,10.91,10.91,10,313.9
1484586000,10.91,10.91,10.91,10.91,10,313.2
1484587800,10.9,10.93,10.9,10.93,305,319.2
1484589600,10.91,10.91,10.91,10.91,30,308.8
1484591400,10.92,10.92,10.92,10.92,5,299.8
1484595000,10.9,10.9,10.9,10.9,30,297.7
1484650800,10.86,10.87,10.83,10.83,210,300.1
1484652600,10.82,10.86,10.82,10.85,95,301.9
1484654400,10.86,10.86,10.86,10.86,45,302.7
1484656200,10.83,10.85,10.82,10.85,470,304.9
1484658000,10.85,10.87,10.85,10.87,285,310.1
1484659800,10.87,10.87,10.84,10.85,800,325.8
1484661600,10.84,10.86,10.84,10.86,200,329
1484663400,10.87,10.89,10.87,10.87,660,341.2
1484665200,10.86,10.86,10.86,10.86,65,333.9
1484667000,10.86,10.87,10.86,10.86,55,328.6
1484668800,10.86,10.86,10.85,10.85,220,321.1
1484670600,10.85,10.87,10.85,10.87,90,321.2
1484672400,10.88,10.89,10.88,10.88,200,323
1484674200,10.89,10.89,10.88,10.88,20,321
1484676000,10.9,10.9,10.9,10.9,215,322.1
1484677800,10.89,10.89,10.89,10.89,500,323.7
1484679600,10.92,10.92,10.92,10.92,45,320.9
1484681400,10.91,10.91,10.91,10.91,25,315.7
1484737200,10.96,10.96,10.92,10.93,40,315.4
1484740800,10.9,10.91,10.9,10.91,55,315
1484742600,10.88,10.89,10.88,10.89,10,312.7
1484744400,10.89,10.89,10.89,10.89,5,306.2
1484746200,10.89,10.91,10.89,10.91,65,303.3
1484748000,10.93,10.93,10.93,10.93,5,293.1
1484751600,10.92,10.92,10.92,10.92,10,282.6
1484757000,10.94,10.95,10.94,10.95,135,261
1484758800,10.94,10.95,10.94,10.95,30,255.4
1484760600,10.94,10.95,10.94,10.95,70,252.1
1484764200,10.95,10.95,10.95,10.95,15,233.5
1484766000,10.95,10.95,10.95,10.95,30,192.9
1484767800,10.96,10.96,10.94,10.94,15,184.6
1484825400,10.91,10.91,10.91,10.91,170,186.1
1484827200,10.89,10.89,10.89,10.89,50,186.7
1484829000,10.89,10.89,10.89,10.89,10,115.9
1484830800,10.88,10.88,10.84,10.84,195,117.7
1484832600,10.87,10.87,10.86,10.87,80,118.8
1484834400,10.87,10.87,10.87,10.87,30,117.8
1484836200,10.91,10.91,10.91,10.91,50,116.3
1484838000,10.91,10.91,10.9,10.91,190,120
1484839800,10.9,10.9,10.89,10.89,215,124
1484841600,10.85,10.86,10.85,10.85,240,127.4
1484843400,10.83,10.83,10.83,10.83,280,132.3
1484845200,10.82,10.83,10.82,10.83,165,135.2
1484847000,10.84,10.84,10.83,10.83,30,135.6
1484850600,10.85,10.86,10.85,10.86,230,140
1484852400,10.88,10.91,10.86,10.86,255,144.9
1484854200,10.86,10.86,10.82,10.83,50,139.8
1484910000,10.79,10.8,10.77,10.79,110,141.4
1484911800,10.81,10.81,10.77,10.78,70,142.7
1484913600,10.8,10.8,10.8,10.8,10,142.3
1484915400,10.8,10.81,10.8,10.81,30,138.7
1484917200,10.8,10.8,10.8,10.8,20,137.2
1484919000,10.79,10.79,10.79,10.79,5,136.4
1484920800,10.78,10.78,10.77,10.78,30,127.6
1484922600,10.77,10.77,10.75,10.75,165,125.2
1484924400,10.76,10.76,10.72,10.73,50,110.2
1484926200,10.75,10.76,10.75,10.76,20,106.6
1484928000,10.75,10.77,10.75,10.77,25,93.9
1484929800,10.77,10.77,10.77,10.77,15,92.9
1484931600,10.79,10.79,10.76,10.76,25,92.3
1484933400,10.77,10.77,10.74,10.74,135,90.6
1484937000,10.77,10.77,10.77,10.77,140,91.6
1484938800,10.78,10.78,10.77,10.77,50,88.6
1484940600,10.76,10.77,10.76,10.76,50,89.2
1485169200,10.73,10.73,10.73,10.73,100,86.9
1485171000,10.73,10.73,10.71,10.71,280,82.5
1485172800,10.72,10.72,10.72,10.72,10,81.8
1485174600,10.75,10.75,10.73,10.73,40,82.1
1485176400,10.73,10.76,10.73,10.73,665,94.6
1485178200,10.74,10.74,10.73,10.74,1725,128
1485180000,10.74,10.74,10.72,10.72,870,145.2
1485181800,10.72,10.73,10.71,10.71,615,157.4
1485183600,10.72,10.73,10.72,10.73,280,161.7
1485185400,10.73,10.74,10.73,10.74,140,164.4
1485189000,10.74,10.77,10.74,10.77,290,170
1485190800,10.78,10.78,10.78,10.78,200,171.3
1485192600,10.77,10.77,10.75,10.76,5600,282.7
1485196200,10.75,10.75,10.74,10.74,70,282.7
1485198000,10.74,10.74,10.74,10.74,55,283.5
1485199800,10.74,10.74,10.73,10.74,35,283.6
1485255600,10.76,10.76,10.7,10.7,115,285.6
1485257400,10.71,10.71,10.7,10.7,455,291.3
1485261000,10.71,10.71,10.71,10.71,30,290.9
1485262800,10.71,10.75,10.71,10.74,170,294.1
1485268200,10.76,10.77,10.76,10.77,25,290.7
1485270000,10.77,10.78,10.77,10.78,50,290.1
1485273600,10.76,10.76,10.76,10.76,5,289.6
1485275400,10.77,10.77,10.76,10.76,35,289.3
1485277200,10.76,10.76,10.75,10.75,85,287.2
1485279000,10.75,10.75,10.74,10.74,45,283.8
1485280800,10.75,10.75,10.75,10.75,15,279.3
1485282600,10.75,10.75,10.75,10.75,155,276.8
1485284400,10.75,10.75,10.75,10.75,40,274.3
1485286200,10.74,10.74,10.74,10.74,95,275.6
1485428400,10.77,10.8,10.77,10.8,20,271.4
1485430200,10.8,10.81,10.8,10.81,270,271.7
1485432000,10.82,10.82,10.81,10.81,20,271.1
1485433800,10.81,10.81,10.8,10.8,230,273.5
1485435600,10.81,10.81,10.8,10.81,435,280.8
1485437400,10.8,10.8,10.79,10.79,150,283.6
1485439200,10.79,10.79,10.78,10.78,15,283.3
1485441000,10.79,10.81,10.79,10.81,480,292.5
1485442800,10.81,10.81,10.81,10.81,495,302.3
1485444600,10.82,10.87,10.82,10.87,315,308
1485446400,10.87,10.92,10.87,10.92,430,313.3
1485448200,10.9,10.9,10.89,10.89,80,313.9
1485450000,10.88,10.88,10.85,10.87,100,315.5
1485451800,10.87,10.87,10.86,10.86,20,315.4
1485455400,10.85,10.85,10.85,10.85,50,316.1
1485457200,10.86,10.86,10.86,10.86,5,315.7
1485459000,10.9,10.9,10.9,10.9,5,313.1
1485514800,10.87,10.87,10.85,10.86,345,317.2
1485516600,10.86,10.87,10.84,10.84,110,318.4
1485518400,10.84,10.84,10.84,10.84,10,317.6
1485520200,10.84,10.86,10.84,10.86,20,316
1485522000,10.86,10.86,10.86,10.86,130,313
1485523800,10.85,10.85,10.8,10.8,200,316.8
1485525600,10.81,10.81,10.78,10.78,340,322.8
1485527400,10.78,10.8,10.78,10.8,75,311
1485529200,10.8,10.8,10.79,10.79,165,279.8
1485531000,10.78,10.78,10.77,10.77,65,263.7
1485532800,10.78,10.78,10.78,10.78,30,252
1485534600,10.78,10.8,10.77,10.77,200,250.4
1485536400,10.77,10.79,10.77,10.77,150,250.6
1485538200,10.77,10.77,10.76,10.77,410,253
1485541800,10.76,10.77,10.76,10.77,795,264.9
1485543600,10.77,10.77,10.76,10.76,100,154.9
1485545400,10.77,10.77,10.77,10.77,5,153.6
1485774000,10.81,10.84,10.81,10.84,95,154.4
1485775800,10.84,10.84,10.83,10.83,60,154.9
1485777600,10.83,10.83,10.8,10.81,255,157.7
1485779400,10.82,10.82,10.82,10.82,45,149.5
1485781200,10.83,10.83,10.83,10.83,10,149.1
1485783000,10.82,10.82,10.8,10.81,40,146.5
1485784800,10.81,10.81,10.81,10.81,35,146.7
1485786600,10.82,10.84,10.82,10.84,920,164.1
1485788400,10.84,10.86,10.84,10.86,190,167.8
1485790200,10.87,10.87,10.86,10.86,120,169.5
1485792000,10.85,10.85,10.85,10.85,35,168.5
1485793800,10.84,10.84,10.84,10.84,10,167.8
1485797400,10.84,10.84,10.84,10.84,20,167.9
1485801000,10.83,10.84,10.83,10.84,95,166.7
1485802800,10.84,10.84,10.83,10.83,85,167.6
1485804600,10.84,10.84,10.84,10.84,20,166.1
1485860400,10.82,10.83,10.82,10.83,815,182
1485862200,10.83,10.83,10.82,10.82,955,195.7
1485864000,10.81,10.81,10.81,10.81,510,205.5
1485865800,10.8,10.83,10.8,10.83,115,203.2
1485867600,10.81,10.83,10.81,10.83,430,203.1
1485869400,10.82,10.84,10.82,10.84,65,201.4
1485871200,10.85,10.86,10.85,10.86,55,202.2
1485873000,10.84,10.86,10.84,10.86,60,193.8
1485874800,10.85,10.85,10.85,10.85,25,184.4
1485878400,10.87,10.88,10.87,10.88,845,195
1485880200,10.87,10.87,10.87,10.87,70,187.8
1485882000,10.86,10.87,10.86,10.86,665,199.5
1485883800,10.85,10.86,10.85,10.85,160,200.7
1485885600,10.81,10.81,10.81,10.81,5,200.4
1485887400,10.83,10.83,10.83,10.83,20,199.8
1485889200,10.83,10.83,10.82,10.83,80,201.3
1485891000,10.83,10.83,10.83,10.83,40,202
1485946800,10.8,10.8,10.8,10.8,515,205.4
1485948600,10.82,10.84,10.82,10.83,250,208.2
1485950400,10.84,10.85,10.84,10.84,600,220
1485952200,10.87,10.87,10.85,10.85,560,230.8
1485954000,10.86,10.89,10.85,10.89,130,230.8
