time,open,high,low,close,Volume,Volume MA
1384369200,12.57,12.57,12.57,12.57,1,NaN
1384455600,12.47,12.47,12.47,12.47,1,NaN
1384801200,12.32,12.32,12.32,12.32,1,NaN
1384887600,12.5,12.5,12.5,12.5,1,NaN
1385060400,12.72,12.72,12.72,12.72,1,NaN
1385146800,12.75,12.75,12.75,12.75,1,NaN
1385406000,12.86,12.86,12.86,12.86,1,NaN
1385492400,12.82,12.82,12.82,12.82,1,NaN
1385578800,12.88,12.88,12.88,12.88,1,NaN
1385665200,12.92,12.92,12.92,12.92,1,NaN
1386010800,13.3,13.3,13.3,13.3,1,NaN
1386097200,13.35,13.35,13.35,13.35,1,NaN
1386183600,13.36,13.36,13.36,13.36,1,NaN
1386270000,13.09,13.09,13.09,13.09,1,NaN
1386356400,13,13,13,13,1,NaN
1386615600,13.02,13.02,13.02,13.02,1,NaN
1386702000,12.89,12.89,12.89,12.89,1,NaN
1386788400,12.94,12.94,12.94,12.94,1,NaN
1386874800,12.88,12.88,12.88,12.88,1,NaN
1386961200,12.9,12.9,12.9,12.9,1,NaN
1387220400,12.85,12.85,12.85,12.85,1,NaN
1387306800,12.87,12.87,12.87,12.87,1,NaN
1387393200,12.88,12.88,12.88,12.88,1,NaN
1387566000,13.25,13.25,13.25,13.25,1,NaN
1387825200,13.27,13.27,13.27,13.27,1,NaN
1388170800,13.19,13.19,13.19,13.19,1,NaN
1388430000,13.22,13.22,13.22,13.22,1,NaN
1388689200,13.26,13.26,13.26,13.26,1,NaN
1388775600,13.19,13.19,13.19,13.19,1,NaN
1389034800,13.29,13.29,13.29,13.29,1,NaN
1389121200,13.32,13.32,13.32,13.32,1,NaN
1389207600,13.56,13.56,13.56,13.56,1,NaN
1389294000,13.48,13.48,13.48,13.48,1,NaN
1389380400,13.34,13.34,13.34,13.34,1,NaN
1389639600,13.29,13.29,13.29,13.29,1,NaN
1389726000,13.4,13.4,13.4,13.4,1,NaN
1389812400,13.31,13.31,13.31,13.31,1,NaN
1389898800,13.3,13.3,13.3,13.3,1,NaN
1389985200,13.16,13.16,13.16,13.16,1,NaN
1390244400,13.27,13.27,13.27,13.27,1,NaN
1390330800,13.39,13.39,13.39,13.39,1,NaN
1390417200,13.4,13.4,13.4,13.4,1,NaN
1390503600,13.53,13.53,13.53,13.53,1,NaN
1390590000,13.38,13.38,13.38,13.38,1,NaN
1390849200,13.53,13.53,13.53,13.53,1,NaN
1390935600,13.604,13.604,13.604,13.604,1,NaN
1391022000,13.59,13.59,13.59,13.59,1,NaN
1391108400,13.54,13.54,13.54,13.54,1,NaN
1391454000,13.62,13.62,13.62,13.62,1,NaN
1391540400,13.52,13.52,13.52,13.52,1,1
1391626800,13.41,13.41,13.41,13.41,1,1
1391713200,13.37,13.37,13.37,13.37,1,1
1391799600,13.33,13.33,13.33,13.33,1,1
1392058800,13.42,13.42,13.42,13.42,1,1
1392145200,13.5,13.5,13.5,13.5,1,1
1392231600,13.58,13.58,13.58,13.58,1,1
1392318000,13.43,13.43,13.43,13.43,1,1
1392404400,13.38,13.38,13.38,13.38,1,1
1392667200,13.35,13.35,13.35,13.35,1,1
1392753600,13.32,13.32,13.32,13.32,1,1
1392840000,13.42,13.42,13.42,13.42,1,1
1392926400,13.21,13.21,13.21,13.21,1,1
1392984000,13.211,13.211,13.211,13.211,1,1
1393012800,13.12,13.12,13.12,13.12,1,1
1393272000,13.05,13.05,13.05,13.05,1,1
1393358400,12.94,12.94,12.94,12.94,1,1
1393531200,12.8,12.8,12.8,12.8,1,1
1394049600,13.04,13.04,13.04,13.04,1,1
1394136000,13.09,13.09,13.09,13.09,1,1
1394222400,13.22,13.22,13.22,13.22,1,1
1394481600,13.25,13.25,13.25,13.25,1,1
1394568000,13.26,13.26,13.26,13.26,1,1
1394654400,13.19,13.19,13.19,13.19,1,1
1394740800,13.23,13.23,13.23,13.23,1,1
1394827200,13.29,13.29,13.29,13.29,1,1
1395086400,13.34,13.34,13.34,13.34,1,1
1395172800,13.4,13.4,13.4,13.4,1,1
1395259200,13.55,13.55,13.55,13.55,1,1
1395345600,13.56,13.56,13.56,13.56,1,1
1395432000,13.48,13.48,13.48,13.48,1,1
1395691200,13.39,13.39,13.39,13.39,1,1
1395777600,13.23,13.23,13.23,13.23,1,1
1395864000,13.15,13.15,13.15,13.15,1,1
1395950400,12.94,12.94,12.94,12.94,1,1
1396036800,13.06,13.06,13.06,13.06,1,1
1396382400,13.13,13.13,13.13,13.13,1,1
1396468800,13.09,13.09,13.09,13.09,1,1
1396555200,13.13,13.13,13.13,13.13,1,1
1396641600,13.06,13.06,13.06,13.06,1,1
1396900800,12.94,12.94,12.94,12.94,1,1
1396987200,12.79,12.79,12.79,12.79,1,1
1397073600,12.82,12.82,12.82,12.82,1,1
1397160000,12.89,12.89,12.89,12.89,1,1
1397246400,12.91,12.91,12.91,12.91,1,1
1397505600,13.03,13.03,13.03,13.03,1,1
1397592000,13.05,13.05,13.05,13.05,1,1
1397678400,13.1,13.1,13.1,13.1,1,1
