time,open,high,low,close,Volume,Volume MA
1401998400,12.41,12.41,12.41,12.41,1,NaN
1430769600,12.8,12.8,12.8,12.8,1,NaN
1437674400,13,13,13,13,10,NaN
1438714800,13.19,13.19,13.19,13.19,10,NaN
1440684000,13.97,13.97,13.97,13.97,1000,NaN
1441036800,14.29,14.29,14.29,14.29,1000,NaN
1465844400,12.87,12.87,12.87,12.87,10,NaN
1468519200,12.23,12.23,12.23,12.23,100,NaN
1468864800,12.17,12.17,12.17,12.17,100,NaN
1468868400,12.17,12.17,12.17,12.17,1000,NaN
1468936800,12.25,12.25,12.25,12.25,500,NaN
1470924000,12.18,12.18,12.18,12.18,100,NaN
1473793200,12.44,12.44,12.44,12.44,20,NaN
1475517600,11.72,11.72,11.72,11.72,5,NaN
1475524800,11.7,11.71,11.7,11.71,1000,NaN
1475780400,11.7,11.7,11.7,11.7,5,NaN
1476360000,11.65,11.65,11.65,11.65,20,NaN
1476892800,11.36,11.36,11.35,11.35,310,NaN
1476896400,11.36,11.38,11.36,11.38,1465,NaN
1477310400,11.32,11.32,11.32,11.32,5,NaN
1477393200,11.21,11.21,11.21,11.21,5,NaN
1478696400,11.59,11.59,11.59,11.59,5,NaN
1478782800,12.08,12.08,12.08,12.08,5,NaN
1478862000,12.44,12.44,12.41,12.41,20,NaN
1478876400,12.38,12.38,12.38,12.38,5,NaN
1478880000,12.37,12.4,12.23,12.23,35,NaN
1479121200,12.61,12.61,12.61,12.61,5,NaN
1479124800,12.39,12.39,12.38,12.38,10,NaN
1479301200,12.43,12.43,12.43,12.43,5,NaN
1479380400,12.05,12.05,12.05,12.05,5,NaN
1479387600,12.27,12.27,12.27,12.27,5,NaN
1479466800,12.41,12.41,12.41,12.41,5,NaN
1479898800,12.02,12.02,12.02,12.02,5,NaN
1480071600,12.37,12.37,12.37,12.37,5,NaN
1480935600,12.4,12.4,12.4,12.4,5,NaN
1480953600,12.3,12.3,12.3,12.3,200,NaN
1481112000,12.22,12.22,12.22,12.22,5,NaN
1481194800,12.13,12.13,12.13,12.13,5,NaN
1483038000,11.62,11.62,11.62,11.62,200,NaN
1483538400,11.55,11.55,11.55,11.55,5,NaN
1484312400,11.26,11.26,11.26,11.26,5,NaN
1485889200,11.1,11.1,11.1,11.1,200,NaN
1486404000,10.78,10.78,10.78,10.78,205,NaN
1487966400,10.39,10.39,10.39,10.39,200,NaN
1489147200,10.54,10.55,10.54,10.55,10,NaN
1489150800,10.54,10.54,10.51,10.51,10,NaN
1489507200,10.51,10.51,10.51,10.51,300,NaN
1490702400,10.32,10.51,10.31,10.51,45,NaN
1490720400,10.35,10.35,10.35,10.35,40,NaN
